File_name	fra30	fra60	Cancer_Type	Status
ERR10505795-ERR10505847-ERR10505899-ERR10505951	0.438374	0.357813	UC	Tumor
ERR10505796-ERR10505848-ERR10505900-ERR10505952	0.545642	0.463130	UC	Normal
ERR10505797-ERR10505849-ERR10505901-ERR10505953	0.427065	0.346266	UC	Tumor
ERR10505798-ERR10505850-ERR10505902-ERR10505954	0.466278	0.382573	UC	Normal
ERR10505801-ERR10505853-ERR10505905-ERR10505957	0.544755	0.466030	UC	Tumor
ERR10505802-ERR10505854-ERR10505906-ERR10505958	0.493380	0.413148	UC	Normal
ERR10505803-ERR10505855-ERR10505907-ERR10505959	0.245334	0.184401	UC	Tumor
ERR10505804-ERR10505856-ERR10505908-ERR10505960	0.396479	0.315942	UC	Normal
ERR10505810-ERR10505862-ERR10505914-ERR10505966	0.359540	0.282632	UC	Tumor
ERR10505812-ERR10505864-ERR10505916-ERR10505968	0.320100	0.249648	UC	Normal
ERR10505813-ERR10505865-ERR10505917-ERR10505969	0.205149	0.149174	UC	Tumor
ERR10505814-ERR10505866-ERR10505918-ERR10505970	0.205236	0.149004	UC	Normal
ERR10505815-ERR10505867-ERR10505919-ERR10505971	0.301278	0.231121	UC	Tumor
ERR10505816-ERR10505868-ERR10505920-ERR10505972	0.296060	0.225936	UC	Normal
ERR10505817-ERR10505869-ERR10505921-ERR10505973	0.315423	0.242853	UC	Tumor
ERR10505819-ERR10505871-ERR10505923-ERR10505975	0.253901	0.190051	UC	Normal
ERR10505820-ERR10505872-ERR10505924-ERR10505976	0.304141	0.232108	UC	Tumor
ERR10505821-ERR10505873-ERR10505925-ERR10505977	0.284666	0.216591	UC	Normal
ERR10505822-ERR10505874-ERR10505926-ERR10505978	0.489791	0.414948	UC	Tumor
ERR10505824-ERR10505876-ERR10505928-ERR10505980	0.521933	0.443759	UC	Normal
ERR10505825-ERR10505877-ERR10505929-ERR10505981	0.509542	0.427216	UC	Tumor
ERR10505826-ERR10505878-ERR10505930-ERR10505982	0.466647	0.388326	UC	Normal
ERR10505827-ERR10505879-ERR10505931-ERR10505983	0.529100	0.451818	UC	Tumor
ERR10505828-ERR10505880-ERR10505932-ERR10505984	0.446592	0.371071	UC	Normal
ERR10505830-ERR10505882-ERR10505934-ERR10505986	0.404878	0.323414	UC	Tumor
ERR10505832-ERR10505884-ERR10505936-ERR10505988	0.288223	0.218664	UC	Normal
ERR10505835-ERR10505887-ERR10505939-ERR10505991	0.473835	0.389916	UC	Tumor
ERR10505836-ERR10505888-ERR10505940-ERR10505992	0.385516	0.306889	UC	Normal
ERR10505839-ERR10505891-ERR10505943-ERR10505995	0.329140	0.252812	UC	Tumor
ERR10505840-ERR10505892-ERR10505944-ERR10505996	0.286881	0.217298	UC	Normal
ERR10506125-ERR10506137-ERR10506149-ERR10506161	0.878230	0.833247	UC	Normal
ERR10506126-ERR10506138-ERR10506150-ERR10506162	0.851990	0.799566	UC	Tumor
ERR10505681-ERR10505717-ERR10505753-ERR10505789	0.894355	0.859035	UC	Normal
ERR10506127-ERR10506139-ERR10506151-ERR10506163	0.882325	0.838047	UC	Tumor
ERR10506128-ERR10506140-ERR10506152-ERR10506164	0.886930	0.842888	UC	Tumor
ERR10506129-ERR10506141-ERR10506153-ERR10506165	0.876780	0.832971	UC	Normal
ERR10506130-ERR10506142-ERR10506154-ERR10506166	0.862911	0.812804	UC	Tumor
ERR10506131-ERR10506143-ERR10506155-ERR10506167	0.884275	0.840500	UC	Normal
ERR10505684-ERR10505720-ERR10505756-ERR10505792	0.826307	0.774598	UC	Tumor
ERR10506132-ERR10506144-ERR10506156-ERR10506168	0.722468	0.647271	UC	Normal
ERR10505649-ERR10505685-ERR10505721-ERR10505757	0.761782	0.692078	UC	Tumor
ERR10505651-ERR10505687-ERR10505723-ERR10505759	0.837240	0.781579	UC	Normal
ERR10505653-ERR10505689-ERR10505725-ERR10505761	0.769598	0.698831	UC	Tumor
ERR10505655-ERR10505691-ERR10505727-ERR10505763	0.816509	0.751390	UC	Normal
ERR10505656-ERR10505692-ERR10505728-ERR10505764	0.899057	0.862509	UC	Tumor
ERR10505658-ERR10505694-ERR10505730-ERR10505766	0.821726	0.761520	UC	Normal
ERR10505659-ERR10505695-ERR10505731-ERR10505767	0.864925	0.814801	UC	Tumor
ERR10505660-ERR10505696-ERR10505732-ERR10505768	0.857211	0.802428	UC	Normal
ERR10505661-ERR10505697-ERR10505733-ERR10505769	0.861393	0.806681	UC	Tumor
ERR10505662-ERR10505698-ERR10505734-ERR10505770	0.772620	0.699375	UC	Normal
ERR10505663-ERR10505699-ERR10505735-ERR10505771	0.883116	0.839537	UC	Tumor
ERR10505664-ERR10505700-ERR10505736-ERR10505772	0.874630	0.826015	UC	Normal
ERR10505665-ERR10505701-ERR10505737-ERR10505773	0.781983	0.703720	UC	Tumor
ERR10505666-ERR10505702-ERR10505738-ERR10505774	0.717391	0.630455	UC	Normal
ERR10505667-ERR10505703-ERR10505739-ERR10505775	0.872203	0.828823	UC	Tumor
ERR10505668-ERR10505704-ERR10505740-ERR10505776	0.847211	0.794587	UC	Normal
ERR10505669-ERR10505705-ERR10505741-ERR10505777	0.872078	0.825688	UC	Tumor
ERR10505670-ERR10505706-ERR10505742-ERR10505778	0.786271	0.719866	UC	Normal
ERR10506001-ERR10506031-ERR10506061-ERR10506091	0.866310	0.818633	UC	Tumor
ERR10506002-ERR10506032-ERR10506062-ERR10506092	0.839616	0.785138	UC	Normal
ERR10505799-ERR10505851-ERR10505903-ERR10505955	0.566628	0.485361	UC	Tumor
ERR10506003-ERR10506033-ERR10506063-ERR10506093	0.873669	0.827291	UC	Normal
ERR10505800-ERR10505852-ERR10505904-ERR10505956	0.549896	0.468054	UC	Normal
ERR10506004-ERR10506034-ERR10506064-ERR10506094	0.857437	0.802117	UC	Tumor
ERR10506005-ERR10506035-ERR10506065-ERR10506095	0.874982	0.832126	UC	Tumor
ERR10506006-ERR10506036-ERR10506066-ERR10506096	0.871311	0.827056	UC	Normal
ERR10505805-ERR10505857-ERR10505909-ERR10505961	0.545277	0.470359	UC	Tumor
ERR10506007-ERR10506037-ERR10506067-ERR10506097	0.874557	0.834521	UC	Normal
ERR10505806-ERR10505858-ERR10505910-ERR10505962	0.535229	0.453055	UC	Normal
ERR10505807-ERR10505859-ERR10505911-ERR10505963	0.566885	0.488792	UC	Normal
ERR10506009-ERR10506039-ERR10506069-ERR10506099	0.858422	0.810937	UC	Tumor
ERR10505808-ERR10505860-ERR10505912-ERR10505964	0.485772	0.408897	UC	Tumor
