SampleName	Provided_Breeds	BreedQC
GSPZ000005	German Spitz	Pass QC
GSZG000004	NA	Pass QC
TIBS000001	NA	Pass QC
TIBS000005	NA	Pass QC
TIBS000006	NA	Pass QC
TIBS000007	NA	Pass QC
MAST000001	NA	Pass QC
MAST000002	NA	Pass QC
MAST000005	NA	Pass QC
MAST000006	NA	Pass QC
MAST000004	NA	Pass QC
MAST000003	NA	Pass QC
KUVZ000003	NA	Pass QC
COTO000004	NA	Pass QC
AUPO000002	NA	Pass QC
AUPO000006	NA	Pass QC
AUPO000003	NA	Pass QC
AUPO000001	NA	Pass QC
AUPO000004	NA	Pass QC
SWHN000007	Swiss Hound	Pass QC
SWHN000011	Swiss Hound	Pass QC
GSZG000002	NA	Pass QC
GSPZ000003	German Spitz	Pass QC
GSPZ000004	German Spitz	Pass QC
NORF000004	NA	Pass QC
NORF000007	NA	Pass QC
NORF000003	NA	Pass QC
NORF000002	NA	Pass QC
NORF000006	NA	Pass QC
NORF000005	NA	Pass QC
NORF000001	NA	Pass QC
LHSA000002	NA	Pass QC
LHSA000003	NA	Pass QC
LHSA000005	NA	Pass QC
LHSA000006	NA	Pass QC
LHSA000001	NA	Pass QC
LHSA000008	NA	Pass QC
LHSA000007	NA	Pass QC
SHIH000001	NA	Pass QC
SHIH000002	NA	Pass QC
SHIH000003	NA	Pass QC
SHIH000005	NA	Pass QC
SHIH000004	NA	Pass QC
PEKE000001	NA	Pass QC
PEKE000002	NA	Pass QC
PEKE000003	NA	Pass QC
ENTB000001	NA	Pass QC
ENTB000002	NA	Pass QC
ENTB000006	NA	Pass QC
ENTB000009	NA	Pass QC
ENTB000007	NA	Pass QC
ENTB000003	NA	Pass QC
ENTB000004	NA	Pass QC
ENTB000005	NA	Pass QC
ENTB000008	NA	Pass QC
ELOD000005	NA	Pass QC
ELOD000003	NA	Pass QC
ELOD000002	NA	Pass QC
ELOD000001	NA	Pass QC
ELOD000004	NA	Pass QC
EURA000002	NA	Pass QC
EURA000004	NA	Pass QC
EURA000003	NA	Pass QC
EURA000001	NA	Pass QC
SAMO000003	NA	Pass QC
SAMO000001	NA	Pass QC
SAMO000004	NA	Pass QC
SAMO000002	NA	Pass QC
CASD000003	NA	Pass QC
ANAT000005	NA	Pass QC
TAZI000001	NA	Pass QC
CAUC000004	NA	Pass QC
CASD000002	NA	Pass QC
CRTR000005	NA	Pass QC
CRTR000003	NA	Pass QC
CRTR000006	NA	Pass QC
SVAL000010	NA	Pass QC
SVAL000007	NA	Pass QC
