SampleName	Provided_Breeds	BreedQC	DiseaseAcronym
HSA_13	Golden Retriever	Pass QC	HSA
CCB070080	Golden Retriever	Pass QC	TCL
HSA_24	Golden Retriever	Pass QC	HSA
HSA_12	Golden Retriever	Pass QC	HSA
CCB010307	Golden Retriever	Pass QC	BCL
HSA_7	Golden Retriever	Pass QC	HSA
N150309	Golden Retriever	Pass QC	BCL
HPCI_0003	Golden Retriever	Pass QC	OSA
CCB030271	Golden Retriever	Pass QC	TCL
CCB050042_URen	Labrador Retriever	Pass QC	OM
CCB050042	NA	Pass QC	UCL
CCB040497	Golden Retriever	Pass QC	BCL
JakRan	Golden Retriever	Pass QC	BCL
HSA_39	Golden Retriever	Pass QC	HSA
CCB010005	Golden Retriever	Pass QC	OSA
CCB030259	Golden Retriever	Pass QC	TCL
4120	Golden Retriever	Pass QC	BCL
CCB040425	Golden Retriever	Pass QC	TCL
CCB060052	Golden Retriever	Pass QC	BCL
CCB030268	Golden Retriever	Pass QC	BCL
CCB030258	Golden Retriever	Pass QC	TCL
CCB010182	Golden Retriever	Pass QC	BCL
CCB010023	Golden Retriever	Pass QC	OSA
CCB020156	Golden Retriever	Pass QC	OSA
HPCI_0013	Golden Retriever	Pass QC	OSA
HPCI_0001	Golden Retriever	Pass QC	OSA
CCB060047	Golden Retriever	Pass QC	BCL
DD0075	NA	Pass QC	OM
CCB070051	Golden Retriever	Pass QC	OSA
CCB030317	Golden Retriever	Pass QC	TCL
CCB010346	Golden Retriever	Pass QC	BCL
CCB010060	Golden Retriever	Pass QC	OSA
CCB010214	Golden Retriever	Pass QC	BCL
CCB010284_URen	Golden Retriever	Pass QC	OM
CCB010243	Golden Retriever	Pass QC	TCL
HSA_6	Golden Retriever	Pass QC	HSA
CCB010035	Golden Retriever	Pass QC	OSA
N149867	Golden Retriever	Pass QC	BCL
HSA_46	Golden Retriever	Pass QC	HSA
CCB030156	Golden Retriever	Pass QC	TCL
CCB070049	Golden Retriever	Pass QC	OSA
P23	Golden Retriever	Pass QC	HSA
CCB050061_URen	Golden Retriever	Pass QC	OM
CCB020104	Golden Retriever	Pass QC	BCL
CCB060148	Golden Retriever	Pass QC	OSA
CCB070081	Golden Retriever	Pass QC	BCL
CCB030075_URen	Golden Retriever	Pass QC	OM
CCB030075	NA	Pass QC	UCL
CCB010253	Golden Retriever	Pass QC	TCL
CCB010010	Golden Retriever	Pass QC	BCL
BelBer	Golden Retriever	Pass QC	BCL
CCB060008	Golden Retriever	Pass QC	TCL
CCB020071	Golden Retriever	Pass QC	OSA
CCB030362	Golden Retriever	Pass QC	BCL
CCB030227_URen	Golden Retriever	Pass QC	OM
CCB030227	NA	Pass QC	UCL
CCB030059	Golden Retriever	Pass QC	TCL
CCB060138	Golden Retriever	Pass QC	OSA
CCB070044	Golden Retriever	Pass QC	OSA
HSA_17	Golden Retriever	Pass QC	HSA
CCB030342	NA	Pass QC	UCL
CCB030342_URen	Golden Retriever	Pass QC	OM
CCB050102	Golden Retriever	Pass QC	OSA
CCB060099	Golden Retriever	Pass QC	OSA
CCB020249	Golden Retriever	Pass QC	BCL
CCB070011	NA	Pass QC	UCL
