SampleName	Provided_Breeds	BreedQC	DiseaseAcronym
B00E00Q-R	Poodle	Pass QC	OM
DD0349	NA	Pass QC	UC
Poodle6	Poodle	Pass QC	UCL
B00E00O-P	Poodle	Pass QC	OM
DD0270	NA	Pass QC	UC
B00E01K-L	Poodle	Pass QC	OM
Poodle21	Poodle	Pass QC	UCL
Poodle17	Poodle	Pass QC	UCL
B00E01A-B	Poodle	Pass QC	OM
B00E00M-N	Poodle	Pass QC	OM
Poodle5	Poodle	Pass QC	UCL
CMT-250	Poodle	Pass QC	MT
CMT-660	Poodle	Pass QC	MT
DD0052	NA	Pass QC	OM
DD0010	NA	Pass QC	OM
DD0057	NA	Pass QC	OM
DD0244	NA	Pass QC	UC
DD0012	NA	Pass QC	OM
i_B023	Boston Terrier	Pass QC	GLM
i_FC65	Boston Terrier	Pass QC	GLM
i_6E45	Boston Terrier	Pass QC	GLM
i_E7AB	Boston Terrier	Pass QC	GLM
i_A71E	Boston Terrier	Pass QC	GLM
i_2C4F	Boston Terrier	Pass QC	GLM
i_F840	Boston Terrier	Pass QC	GLM
i_49E6	Boston Terrier	Pass QC	GLM
i_1793	Boston Terrier	Pass QC	GLM
i_0FF0	Boston Terrier	Pass QC	GLM
DD0294	NA	Pass QC	UC
DD0058	NA	Pass QC	OM
DD0260	NA	Pass QC	UC
DD0374	NA	Pass QC	UC
DD0068	NA	Pass QC	OM
DD0281	NA	Pass QC	UC
DD0288	NA	Pass QC	UC
DD0236	NA	Pass QC	UC
CMT-150	NA	Pass QC	MT
DD0096	NA	Pass QC	OM
FXTE000006	Smooth Fox Terrier	Pass QC	NonT
DD0225	NA	Pass QC	UC
DD0085	NA	Pass QC	OM
DD0097	NA	Pass QC	OM
SWHN000002	Swiss Hound	Pass QC	NonT
SWHN000008	Swiss Hound	Pass QC	NonT
SWHN000003	Swiss Hound	Pass QC	NonT
SWHN000004	Swiss Hound	Pass QC	NonT
SWHN000001	Swiss Hound	Pass QC	NonT
SWHN000012	Swiss Hound	Pass QC	NonT
SWHN000005	Swiss Hound	Pass QC	NonT
SMSH000003	Small Swiss Hound	Pass QC	NonT
SMSH000002	Small Swiss Hound	Pass QC	NonT
SMSH000010	Small Swiss Hound	Pass QC	NonT
SMSH000001	Small Swiss Hound	Pass QC	NonT
SMSH000006	Small Swiss Hound	Pass QC	NonT
DD0358	NA	Pass QC	UC
DD0095	NA	Pass QC	OM
DD0046	NA	Pass QC	OM
DD0098	NA	Pass QC	OM
DD0247	NA	Pass QC	UC
CCB050031_URen	Labrador Retriever	Pass QC	OM
CCB050031	NA	Pass QC	UCL
FLCD000008	Bouvier des Flandres	Pass QC	NonT
CCB060151	Golden Retriever	Pass QC	TCL
DD0256	NA	Pass QC	UC
CCB030002_URen	Poodle	Pass QC	OM
DD0084	NA	Pass QC	OM
DD0285	NA	Pass QC	UC
DD0237	NA	Pass QC	UC
DD0002-1	NA	Pass QC	OM
DD0002	NA	Pass QC	OM
DD0395	NA	Pass QC	UC
DD0091	NA	Pass QC	OM
DD0065	NA	Pass QC	OM
B00E02I-J	Labrador Retriever	Pass QC	OM
DD0266	NA	Pass QC	UC
DD0006	NA	Pass QC	OM
DD0006-1	NA	Pass QC	OM
DD0213	NA	Pass QC	UC
DD0069	NA	Pass QC	OM
DD0044	NA	Pass QC	OM
Golden1	Golden Retriever	Pass QC	UCL
B00E01Q-R	Golden Retriever	Pass QC	OM
DD0089	NA	Pass QC	OM
DD0277	NA	Pass QC	UC
DD0016	NA	Pass QC	OM
DD0274	NA	Pass QC	UC
DD0062	NA	Pass QC	OM
DD0369	NA	Pass QC	UC
DD0357	NA	Pass QC	UC
B00E02M-N	Labrador Retriever	Pass QC	OM
DD0048	NA	Pass QC	OM
DD0015	NA	Pass QC	OM
DD0060	NA	Pass QC	OM
HPCI_0004	Labrador Retriever	Pass QC	OSA
T-1023	Labrador Retriever	Pass QC	OSA
DD0059	NA	Pass QC	OM
DD0338	NA	Pass QC	UC
DACH000007	Dachshund	Pass QC	NonT
DD0248	NA	Pass QC	UC
DD0343	NA	Pass QC	UC
DD0063	NA	Pass QC	OM
SWHN000006	Swiss Hound	Pass QC	NonT
SWHN000010	Swiss Hound	Pass QC	NonT
SWHN000011	Swiss Hound	Pass QC	NonT
SMSH000012	Small Swiss Hound	Pass QC	NonT
SMSH000009	Small Swiss Hound	Pass QC	NonT
SMSH000011	Small Swiss Hound	Pass QC	NonT
SMSH000005	Small Swiss Hound	Pass QC	NonT
SMSH000007	Small Swiss Hound	Pass QC	NonT
SMSH000004	Small Swiss Hound	Pass QC	NonT
SMSH000008	Small Swiss Hound	Pass QC	NonT
SWHN000007	Swiss Hound	Pass QC	NonT
SWHN000009	Swiss Hound	Pass QC	NonT
PYSH000009	Pyrenean Shepherd	Pass QC	NonT
PYSH000008	Pyrenean Shepherd	Pass QC	NonT
PYSH000010	Pyrenean Shepherd	Pass QC	NonT
DD0041	NA	Pass QC	OM
GSZM000011	German Spitz	Pass QC	NonT
GSPK000007	German Spitz	Pass QC	NonT
GSPK000008	German Spitz	Pass QC	NonT
GSZM000007	German Spitz	Pass QC	NonT
GSPK000006	German Spitz	Pass QC	NonT
GSPK000005	German Spitz	Pass QC	NonT
GSZM000005	German Spitz	Pass QC	NonT
GSZM000012	German Spitz	Pass QC	NonT
DD0100	NA	Pass QC	OM
CMT-319	NA	Pass QC	MT
GSZM000006	German Spitz	Pass QC	NonT
GSZM000002	German Spitz	Pass QC	NonT
GSZM000001	German Spitz	Pass QC	NonT
GSZM000010	German Spitz	Pass QC	NonT
GSZM000003	German Spitz	Pass QC	NonT
GSPK000009	German Spitz	Pass QC	NonT
GSPK000004	German Spitz	Pass QC	NonT
DD0078	NA	Pass QC	OM
DD0079	NA	Pass QC	OM
i_63FE	Boxer	Pass QC	GLM
CCB040007	NA	Pass QC	UCL
NygRoy	Boxer	Pass QC	TCL
i_607E	Boxer	Pass QC	GLM
i_81E2	Boxer	Pass QC	GLM
i_3688	Boxer	Pass QC	GLM
CCB050194	NA	Pass QC	UCL
CCB050063	NA	Pass QC	UCL
SopCas	Boxer	Pass QC	TCL
SteHel	Boxer	Pass QC	TCL
CasLea	Boxer	Pass QC	TCL
MurVoe	Boxer	Pass QC	TCL
CCB030292	Boxer	Pass QC	TCL
i_4BAC	Boxer	Pass QC	GLM
RoxRho	Boxer	Pass QC	TCL
i_1165	Boxer	Pass QC	GLM
i_03A6	Boxer	Pass QC	GLM
CCB060032	Boxer	Pass QC	TCL
CCB010174	NA	Pass QC	UCL
i_92AC	Boxer	Pass QC	GLM
CCB040265	Boxer	Pass QC	TCL
i_E271	Boxer	Pass QC	GLM
i_E952	Boxer	Pass QC	GLM
i_6638	Boxer	Pass QC	GLM
CCB040184	NA	Pass QC	UCL
i_BF76	Boxer	Pass QC	GLM
CCB060034	Boxer	Pass QC	TCL
CCB020030	Boxer	Pass QC	TCL
i_E2CD	Boxer	Pass QC	GLM
i_D026	Boxer	Pass QC	GLM
CCB030212	Boxer	Pass QC	TCL
CCB030166	Boxer	Pass QC	TCL
CCB060027	Boxer	Pass QC	TCL
CCB080023	NA	Pass QC	UCL
SopDix	Boxer	Pass QC	TCL
i_22C7	Boxer	Pass QC	GLM
CCB050204	NA	Pass QC	UCL
i_05CA	Boxer	Pass QC	GLM
i_D756	Boxer	Pass QC	GLM
CCB010028	Boxer	Pass QC	TCL
TYFX000004	Toy Fox Terrier	Pass QC	NonT
TYFX000002	Toy Fox Terrier	Pass QC	NonT
TYFX000006	Toy Fox Terrier	Pass QC	NonT
TYFX000005	Toy Fox Terrier	Pass QC	NonT
TYFX000007	Toy Fox Terrier	Pass QC	NonT
TYFX000001	Toy Fox Terrier	Pass QC	NonT
TYFX000010	Toy Fox Terrier	Pass QC	NonT
TYFX000009	Toy Fox Terrier	Pass QC	NonT
TYFX000003	Toy Fox Terrier	Pass QC	NonT
TYFX000008	Toy Fox Terrier	Pass QC	NonT
DD0328	NA	Pass QC	UC
13ZOP	Rottweiler	Pass QC	BCL
DD0071	NA	Pass QC	OM
HS3	NA	Pass QC	HS
HS5	NA	Pass QC	HS
DD0292	NA	Pass QC	UC
DD0375	NA	Pass QC	UC
DD0396	NA	Pass QC	UC
DD0245	NA	Pass QC	UC
DD0042-1	NA	Pass QC	OM
DD0042-2	NA	Pass QC	OM
DD0042	NA	Pass QC	OM
DD0355	NA	Pass QC	UC
DD0268	NA	Pass QC	UC
DD0306	NA	Pass QC	UC
DD0273	NA	Pass QC	UC
DACH000014	Dachshund	Pass QC	NonT
DACH000006	Dachshund	Pass QC	NonT
DACH000003	Dachshund	Pass QC	NonT
DACH000004	Dachshund	Pass QC	NonT
DACH000016	Dachshund	Pass QC	NonT
DACH000015	Dachshund	Pass QC	NonT
DACH000001	Dachshund	Pass QC	NonT
DACH000005	Dachshund	Pass QC	NonT
DACH000002	Dachshund	Pass QC	NonT
DACH000011	Dachshund	Pass QC	NonT
DACH000013	Dachshund	Pass QC	NonT
DACH000012	Dachshund	Pass QC	NonT
DACH000008	Dachshund	Pass QC	NonT
DACH000009	Dachshund	Pass QC	NonT
DACH000010	Dachshund	Pass QC	NonT
CMT-158	Dachshund	Pass QC	MT
CMT-402	Dachshund	Pass QC	MT
CMT-449	Dachshund	Pass QC	MT
DACH000017	Dachshund	Pass QC	NonT
CMT-301	Dachshund	Pass QC	MT
DD0083	NA	Pass QC	OM
EGTT000007	English Toy Terrier	Pass QC	NonT
EGTT000010	English Toy Terrier	Pass QC	NonT
EGTT000016	English Toy Terrier	Pass QC	NonT
EGTT000015	English Toy Terrier	Pass QC	NonT
EGTT000012	English Toy Terrier	Pass QC	NonT
EGTT000014	English Toy Terrier	Pass QC	NonT
EGTT000011	English Toy Terrier	Pass QC	NonT
EGTT000008	English Toy Terrier	Pass QC	NonT
EGTT000013	English Toy Terrier	Pass QC	NonT
EGTT000009	English Toy Terrier	Pass QC	NonT
LEON000001	Leonberger	Pass QC	NonT
LEON000003	Leonberger	Pass QC	NonT
LEON000004	Leonberger	Pass QC	NonT
LEON000011	Leonberger	Pass QC	NonT
LEON000012	Leonberger	Pass QC	NonT
LEON000014	Leonberger	Pass QC	NonT
LEON000008	Leonberger	Pass QC	NonT
LEON000009	Leonberger	Pass QC	NonT
LEON000007	Leonberger	Pass QC	NonT
T-907	Leonberger	Pass QC	OSA
LEON000010	Leonberger	Pass QC	NonT
LEON000013	Leonberger	Pass QC	NonT
VIZS000007	Vizsla	Pass QC	NonT
HWHP000001	Vizsla	Pass QC	NonT
VIZS000004	Vizsla	Pass QC	NonT
VIZS000003	Vizsla	Pass QC	NonT
HSHP000001	Vizsla	Pass QC	NonT
VIZS000002	Vizsla	Pass QC	NonT
VIZS000001	Vizsla	Pass QC	NonT
VIZS000006	Vizsla	Pass QC	NonT
DD0344	NA	Pass QC	UC
VIZS000005	Vizsla	Pass QC	NonT
PBGV000005	Petit Basset Griffon Vendeen	Pass QC	NonT
PBGV000008	Petit Basset Griffon Vendeen	Pass QC	NonT
PBGV000012	Petit Basset Griffon Vendeen	Pass QC	NonT
PBGV000006	Petit Basset Griffon Vendeen	Pass QC	NonT
PBGV000007	Petit Basset Griffon Vendeen	Pass QC	NonT
PBGV000010	Petit Basset Griffon Vendeen	Pass QC	NonT
PBGV000004	Petit Basset Griffon Vendeen	Pass QC	NonT
PBGV000001	Petit Basset Griffon Vendeen	Pass QC	NonT
PBGV000002	Petit Basset Griffon Vendeen	Pass QC	NonT
PBGV000009	Petit Basset Griffon Vendeen	Pass QC	NonT
PBGV000003	Petit Basset Griffon Vendeen	Pass QC	NonT
FLCD000005	Bouvier des Flandres	Pass QC	NonT
FLCD000007	Bouvier des Flandres	Pass QC	NonT
BOUV000002	Bouvier des Flandres	Pass QC	NonT
FLCD000001	Bouvier des Flandres	Pass QC	NonT
FLCD000006	Bouvier des Flandres	Pass QC	NonT
FLCD000004	Bouvier des Flandres	Pass QC	NonT
FLCD000003	Bouvier des Flandres	Pass QC	NonT
BOUV000001	Bouvier des Flandres	Pass QC	NonT
FLCD000002	Bouvier des Flandres	Pass QC	NonT
KEES000006	Keeshond	Pass QC	NonT
KEES000007	Keeshond	Pass QC	NonT
KEES000005	Keeshond	Pass QC	NonT
KEES000002	Keeshond	Pass QC	NonT
DD0055	NA	Pass QC	OM
KEES000004	Keeshond	Pass QC	NonT
KEES000003	Keeshond	Pass QC	NonT
KEES000011	Keeshond	Pass QC	NonT
KEES000008	Keeshond	Pass QC	NonT
KEES000009	Keeshond	Pass QC	NonT
KEES000010	Keeshond	Pass QC	NonT
KEES000012	Keeshond	Pass QC	NonT
BRMD000001	Bernese Mountain Dog	Pass QC	NonT
BRMD000007	Bernese Mountain Dog	Pass QC	NonT
BRMD000003	Bernese Mountain Dog	Pass QC	NonT
BRMD000008	Bernese Mountain Dog	Pass QC	NonT
BRMD000009	Bernese Mountain Dog	Pass QC	NonT
BRMD000004	Bernese Mountain Dog	Pass QC	NonT
BRMD000006	Bernese Mountain Dog	Pass QC	NonT
BRMD000010	Bernese Mountain Dog	Pass QC	NonT
BRMD000005	Bernese Mountain Dog	Pass QC	NonT
BRMD000002	Bernese Mountain Dog	Pass QC	NonT
DD0265	NA	Pass QC	UC
008	Schnauzer	Pass QC	MT
HS4	NA	Pass QC	HS
CMT-644	Schnauzer	Pass QC	MT
088	Schnauzer	Pass QC	MT
CMT-92	Schnauzer	Pass QC	MT
DD0339	NA	Pass QC	UC
DD0066	NA	Pass QC	OM
047	Schnauzer	Pass QC	MT
CMT-577	Schnauzer	Pass QC	MT
CMT-193	Schnauzer	Pass QC	MT
063	Schnauzer	Pass QC	MT
125	Schnauzer	Pass QC	MT
CMT-26	Schnauzer	Pass QC	MT
CMT-118	Schnauzer	Pass QC	MT
026	Schnauzer	Pass QC	MT
062	Schnauzer	Pass QC	MT
DD0392	NA	Pass QC	UC
DD0238	NA	Pass QC	UC
004	Schnauzer	Pass QC	MT
CMT-711	Yorkshire Terrier	Pass QC	MT
CMT-84	NA	Pass QC	MT
SMFX000003	Smooth Fox Terrier	Pass QC	NonT
SMFX000004	Smooth Fox Terrier	Pass QC	NonT
SMFX000005	Smooth Fox Terrier	Pass QC	NonT
DD0235	NA	Pass QC	UC
FXTE000005	Smooth Fox Terrier	Pass QC	NonT
FXTE000003	Smooth Fox Terrier	Pass QC	NonT
SMFX000001	Smooth Fox Terrier	Pass QC	NonT
FXTE000004	Smooth Fox Terrier	Pass QC	NonT
SMFX000002	Smooth Fox Terrier	Pass QC	NonT
IBIZ000013	Ibizan Hound	Pass QC	NonT
IBIZ000009	Ibizan Hound	Pass QC	NonT
IBIZ000004	Ibizan Hound	Pass QC	NonT
IBIZ000007	Ibizan Hound	Pass QC	NonT
IBIZ000011	Ibizan Hound	Pass QC	NonT
IBIZ000010	Ibizan Hound	Pass QC	NonT
IBIZ000012	Ibizan Hound	Pass QC	NonT
IBIZ000008	Ibizan Hound	Pass QC	NonT
IBIZ000001	Ibizan Hound	Pass QC	NonT
IBIZ000003	Ibizan Hound	Pass QC	NonT
IBIZ000005	Ibizan Hound	Pass QC	NonT
IBIZ000002	Ibizan Hound	Pass QC	NonT
IBIZ000006	Ibizan Hound	Pass QC	NonT
COLL000010	Collie	Pass QC	NonT
COLL000009	Collie	Pass QC	NonT
COLL000008	Collie	Pass QC	NonT
COLL000011	Collie	Pass QC	NonT
COLL000012	Collie	Pass QC	NonT
COLL000007	Collie	Pass QC	NonT
COLL000003	Collie	Pass QC	NonT
COLL000002	Collie	Pass QC	NonT
COLL000001	Collie	Pass QC	NonT
COLL000005	Collie	Pass QC	NonT
COLL000004	Collie	Pass QC	NonT
COLL000006	Collie	Pass QC	NonT
COLL000013	Collie	Pass QC	NonT
DD0299	NA	Pass QC	UC
DD0253	NA	Pass QC	UC
DD0336	NA	Pass QC	UC
DD0278	NA	Pass QC	UC
DD0372	NA	Pass QC	UC
DD0240	NA	Pass QC	UC
DD0246	NA	Pass QC	UC
DD0258	NA	Pass QC	UC
