SampleName	Provided_Breeds	BreedQC
KEES000007	Keeshond	Pass QC
KEES000008	Keeshond	Pass QC
KEES000009	Keeshond	Pass QC
KEES000004	Keeshond	Pass QC
KEES000010	Keeshond	Pass QC
KEES000012	Keeshond	Pass QC
BBLS000003	White Swiss Shepherd Dog	Pass QC
WSSD000008	White Swiss Shepherd Dog	Pass QC
BBLS000001	White Swiss Shepherd Dog	Pass QC
WSSD000005	White Swiss Shepherd Dog	Pass QC
WSSD000009	White Swiss Shepherd Dog	Pass QC
WSSD000006	White Swiss Shepherd Dog	Pass QC
WSSD000007	White Swiss Shepherd Dog	Pass QC
WSSD000010	White Swiss Shepherd Dog	Pass QC
WSSD000004	White Swiss Shepherd Dog	Pass QC
WSSD000003	White Swiss Shepherd Dog	Pass QC
BBLS000002	White Swiss Shepherd Dog	Pass QC
PYSH000006	Pyrenean Shepherd	Pass QC
PYSH000007	Pyrenean Shepherd	Pass QC
PYSH000001	Pyrenean Shepherd	Pass QC
PYSH000003	Pyrenean Shepherd	Pass QC
PYSH000011	Pyrenean Shepherd	Pass QC
PYSH000004	Pyrenean Shepherd	Pass QC
PYSH000005	Pyrenean Shepherd	Pass QC
PYSH000012	Pyrenean Shepherd	Pass QC
PYSH000008	Pyrenean Shepherd	Pass QC
PYSH000009	Pyrenean Shepherd	Pass QC
PYSH000010	Pyrenean Shepherd	Pass QC
KMUM000006	Small Munsterlander	Pass QC
KMUM000001	Small Munsterlander	Pass QC
KMUM000011	Small Munsterlander	Pass QC
KMUM000003	Small Munsterlander	Pass QC
KMUM000004	Small Munsterlander	Pass QC
KMUM000007	Small Munsterlander	Pass QC
KMUM000010	Small Munsterlander	Pass QC
KMUM000008	Small Munsterlander	Pass QC
KMUM000009	Small Munsterlander	Pass QC
KMUM000002	Small Munsterlander	Pass QC
KMUM000005	Small Munsterlander	Pass QC
GSPZ000001	German Spitz	Pass QC
GSPZ000002	German Spitz	Pass QC
GSPZ000003	German Spitz	Pass QC
GSPZ000004	German Spitz	Pass QC
GSZM000009	German Spitz	Pass QC
GSPK000002	German Spitz	Pass QC
GSZM000004	German Spitz	Pass QC
GSZM000008	German Spitz	Pass QC
GSPK000011	German Spitz	Pass QC
GSPK000010	German Spitz	Pass QC
GSZM000012	German Spitz	Pass QC
GSPK000001	German Spitz	Pass QC
GSPK000003	German Spitz	Pass QC
GSZM000011	German Spitz	Pass QC
GSPK000006	German Spitz	Pass QC
GSPK000007	German Spitz	Pass QC
GSZM000005	German Spitz	Pass QC
GSPK000008	German Spitz	Pass QC
GSPK000005	German Spitz	Pass QC
GSZM000006	German Spitz	Pass QC
GSZM000007	German Spitz	Pass QC
GSZM000003	German Spitz	Pass QC
GSZM000001	German Spitz	Pass QC
GSZM000010	German Spitz	Pass QC
GSPK000009	German Spitz	Pass QC
FXTE000006	Smooth Fox Terrier	Pass QC
GSPZ000006	German Spitz	Pass QC
GSPK000004	German Spitz	Pass QC
GSZM000002	German Spitz	Pass QC
SMSH000012	Small Swiss Hound	Pass QC
SMSH000009	Small Swiss Hound	Pass QC
SMSH000011	Small Swiss Hound	Pass QC
SMSH000007	Small Swiss Hound	Pass QC
SMSH000005	Small Swiss Hound	Pass QC
SMSH000004	Small Swiss Hound	Pass QC
SMSH000008	Small Swiss Hound	Pass QC
DACH000003	Dachshund	Pass QC
DACH000001	Dachshund	Pass QC
DACH000005	Dachshund	Pass QC
DACH000017	Dachshund	Pass QC
DACH000007	Dachshund	Pass QC
DACH000002	Dachshund	Pass QC
DACH000004	Dachshund	Pass QC
DACH000016	Dachshund	Pass QC
DACH000015	Dachshund	Pass QC
DACH000014	Dachshund	Pass QC
DACH000006	Dachshund	Pass QC
DACH000011	Dachshund	Pass QC
DACH000012	Dachshund	Pass QC
DACH000008	Dachshund	Pass QC
DACH000013	Dachshund	Pass QC
DACH000010	Dachshund	Pass QC
DACH000009	Dachshund	Pass QC
SWHN000002	Swiss Hound	Pass QC
SWHN000003	Swiss Hound	Pass QC
SWHN000001	Swiss Hound	Pass QC
SWHN000008	Swiss Hound	Pass QC
SWHN000012	Swiss Hound	Pass QC
SWHN000004	Swiss Hound	Pass QC
SWHN000010	Swiss Hound	Pass QC
SWHN000005	Swiss Hound	Pass QC
SWHN000009	Swiss Hound	Pass QC
SWHN000006	Swiss Hound	Pass QC
SWHN000007	Swiss Hound	Pass QC
SWHN000011	Swiss Hound	Pass QC
TYFX000006	Toy Fox Terrier	Pass QC
TYFX000004	Toy Fox Terrier	Pass QC
TYFX000002	Toy Fox Terrier	Pass QC
TYFX000005	Toy Fox Terrier	Pass QC
TYFX000010	Toy Fox Terrier	Pass QC
TYFX000009	Toy Fox Terrier	Pass QC
TYFX000007	Toy Fox Terrier	Pass QC
TYFX000003	Toy Fox Terrier	Pass QC
TYFX000008	Toy Fox Terrier	Pass QC
TYFX000001	Toy Fox Terrier	Pass QC
SMSH000003	Small Swiss Hound	Pass QC
SMSH000006	Small Swiss Hound	Pass QC
SMSH000002	Small Swiss Hound	Pass QC
SMSH000010	Small Swiss Hound	Pass QC
